spec,outcome,term,coef,se,z,p_value,r2,n_obs,n_events,include_relief
spec_a_any_own,upgrade_any,const,0.2784674443423185,0.10999895753125451,2.5315462127283914,0.011356085199010435,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,lagged_binding_share,-0.04133842875812166,0.041973603079690676,-0.9848672909885033,0.3246892618940147,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,log_avg_length_km,-0.0017646763578447466,0.01983712514897528,-0.08895827115028831,0.9291150733843205,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,log_n_lines,0.03174603958260647,0.01966338521545989,1.614474783194852,0.10642448222501644,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,has_promoted_lines,-0.011197937099416518,0.026015322869282185,-0.43043621467556636,0.666878356538444,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,voltage_below_345,-0.034624257333635416,0.029167809040521447,-1.1870709001671529,0.23519965547576782,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_COAST__SOUTH,-0.2791372573898758,0.07649178419326719,-3.649244952694482,0.0002630122223530318,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_COAST__SOUTH CENTRAL,-0.19134846418426904,0.10800508053140527,-1.7716616963090872,0.0764507315802494,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_EAST__EAST,-0.29334728320047193,0.07518829426721418,-3.901502036446461,9.559765727207292e-05,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_EAST__NORTH,-0.3106084582876686,0.0781941305703155,-3.9722733154294256,7.118997072419475e-05,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_EAST__NORTH CENTRAL,-0.30018723494925437,0.07551673207129216,-3.975108915807695,7.034705472519498e-05,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_EAST__SOUTH CENTRAL,-0.2763894926981297,0.07643798814922852,-3.615865610676977,0.0002993456526594329,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_FAR WEST__FAR WEST,0.04141163014316818,0.09559944519877675,0.4331785614138487,0.6648850524458774,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_FAR WEST__WEST,-0.0769948685886368,0.08727273307823491,-0.8822328105573982,0.3776509222390252,0.12533702861438378,1800,215,0
