spec,outcome,term,coef,se,z,p_value,pseudo_r2,n_obs,n_events,include_relief,status
spec_a_any_own,upgrade_any,const,-0.9988022965689124,0.8951269128958592,-1.1158219937077403,0.26449833745678997,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,lagged_binding_share,-0.5641984459284531,0.5298716486855041,-1.064783230671251,0.2869740354426663,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,log_avg_length_km,-0.036493915173121096,0.210142870284597,-0.17366239988869142,0.8621307889823947,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,log_n_lines,0.345184861816242,0.20902758942582209,1.6513842156646896,0.09866014579976769,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,has_promoted_lines,-0.470823166396165,0.9802442250163722,-0.48031210424963355,0.6310054832325616,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,voltage_below_345,-0.7140671671581569,0.5641715460474593,-1.2656915652000784,0.20562352931884909,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_COAST__SOUTH,-24.519183665700837,0.8273543801356157,-29.635648585895897,5.1923411502307075e-193,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_COAST__SOUTH CENTRAL,-1.2940111457088774,0.9279197925470688,-1.3945290919562303,0.16315789074437004,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_EAST__EAST,-24.678184945855563,0.48223016765620585,-51.17511636776998,0.0,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_EAST__NORTH,-24.891567541294393,1.1002306187111854,-22.623954576407332,2.5186178153156873e-113,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_EAST__NORTH CENTRAL,-24.766215873067743,0.638412035183272,-38.793466457689796,0.0,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_EAST__SOUTH CENTRAL,-24.47662812170693,1.0944653984892916,-22.364003608969657,8.823186319264209e-111,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_FAR WEST__FAR WEST,0.2826551394828439,0.4515074759734034,0.6260253805841611,0.5312982940418248,0.17756014398603082,1800,215,0,ok
