year,n_corridors_universe,n_corridors_exposed,n_corridors_stressed,allocated_shadow_cost_total,share_corridors_stressed,allocated_shadow_cost_mean_per_corridor
2018,300,61,46,1415453.71701,0.15333333333333332,4718.1790567
2019,300,80,57,1618345.38492,0.19,5394.4846164
2020,300,112,103,1925781.94068,0.3433333333333333,6419.2731356
2021,300,124,115,6843639.45222,0.38333333333333336,22812.1315074
2022,300,118,114,7998302.96464,0.38,26661.009882133334
2023,300,121,110,8100369.79597,0.36666666666666664,27001.232653233335
2024,300,140,126,3707250.89326,0.42,12357.502977533333
2025,300,130,112,4492385.63217,0.37333333333333335,14974.6187739
