corridor_id,county_k1,county_k2,n_lines,avg_length_km,max_effective_voltage_kv,year,allocated_shadow_cost_total,allocated_n_binding_total,allocated_n_intervals_total,n_constraints_exposed_year,binding_share_corridor_year,stressed_corridor_year,corridor_exposed_year
BRAZOS__GRIMES,BRAZOS,GRIMES,2,36.90936665016683,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
BRAZOS__ROBERTSON,BRAZOS,ROBERTSON,2,40.59788066399012,345.0,2018,129024.74096,3170.0,6339.0,1,0.5000788767944471,1,1
BRISCOE__FLOYD,BRISCOE,FLOYD,3,37.40680492098013,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
BRISCOE__HALL,BRISCOE,HALL,2,56.2306224417309,345.0,2018,1746.5965,39.0,118.0,1,0.3305084745762712,1,1
BRISCOE__SWISHER,BRISCOE,SWISHER,2,37.58842196125035,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
BROOKS__HIDALGO,BROOKS,HIDALGO,1,65.97195813748284,345.0,2018,36366.42751,23.0,150.25,1,0.15307820299500832,1,1
BROOKS__KLEBERG,BROOKS,KLEBERG,1,65.97195813748284,345.0,2018,36366.42751,23.0,150.25,1,0.15307820299500832,1,1
BROWN__COLEMAN,BROWN,COLEMAN,4,35.338189010424344,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
BROWN__COMANCHE,BROWN,COMANCHE,1,84.58137031865897,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
BROWN__MILLS,BROWN,MILLS,2,65.75099888365183,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CALDWELL__GUADALUPE,CALDWELL,GUADALUPE,4,36.27701706314243,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CALDWELL__HAYS,CALDWELL,HAYS,2,35.34405049940318,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CALHOUN__REFUGIO,CALHOUN,REFUGIO,1,37.58797937588532,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CALHOUN__VICTORIA,CALHOUN,VICTORIA,1,37.58797937588532,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CALLAHAN__EASTLAND,CALLAHAN,EASTLAND,1,55.80265322971882,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CALLAHAN__SHACKELFORD,CALLAHAN,SHACKELFORD,1,55.80265322971882,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CAMERON__HIDALGO,CAMERON,HIDALGO,1,61.885584864504814,345.0,2018,55941.01647,973.0,2855.25,2,0.34077576394361264,1,1
CAMERON__WILLACY,CAMERON,WILLACY,1,54.66227066942818,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CAMP__MORRIS,CAMP,MORRIS,2,16.77020951372318,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CAMP__TITUS,CAMP,TITUS,2,12.77930339877826,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CAMP__UPSHUR,CAMP,UPSHUR,3,10.214321887850607,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CARSON__GRAY,CARSON,GRAY,3,47.26978699581783,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CARSON__HUTCHINSON,CARSON,HUTCHINSON,3,26.367269874932223,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
CARSON__POTTER,CARSON,POTTER,4,46.85741780022533,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CASS__MARION,CASS,MARION,2,25.962922319424187,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CASS__MORRIS,CASS,MORRIS,2,23.399893169849523,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CASTRO__DEAF SMITH,CASTRO,DEAF SMITH,2,40.32793679384602,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CASTRO__LAMB,CASTRO,LAMB,2,46.9935977030592,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
CASTRO__RANDALL,CASTRO,RANDALL,1,56.21686537263677,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
CASTRO__SWISHER,CASTRO,SWISHER,2,37.58842196125035,345.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
CHAMBERS__HARRIS,CHAMBERS,HARRIS,1,29.184117293193104,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CHAMBERS__LIBERTY,CHAMBERS,LIBERTY,2,22.478206391259278,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CHEROKEE__HOUSTON,CHEROKEE,HOUSTON,1,35.870458482885645,345.0,2018,0.0,0.0,3.727272727272727,1,0.0,0,1
CHEROKEE__NACOGDOCHES,CHEROKEE,NACOGDOCHES,1,35.870458482885645,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CHEROKEE__RUSK,CHEROKEE,RUSK,2,45.17688993779806,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CHEROKEE__SMITH,CHEROKEE,SMITH,1,10.580469501287553,345.0,2018,0.0,0.0,3.727272727272727,1,0.0,0,1
CHILDRESS__COLLINGSWORTH,CHILDRESS,COLLINGSWORTH,1,58.61480369628626,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CHILDRESS__HALL,CHILDRESS,HALL,1,42.41556627423594,345.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
CHILDRESS__HARDEMAN,CHILDRESS,HARDEMAN,3,47.20651968157245,345.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
CLAY__JACK,CLAY,JACK,1,37.62891329238208,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CLAY__MONTAGUE,CLAY,MONTAGUE,2,52.71891876709488,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CLAY__WICHITA,CLAY,WICHITA,2,52.71891876709488,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COCHRAN__YOAKUM,COCHRAN,YOAKUM,1,47.11608976521057,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
COKE__MITCHELL,COKE,MITCHELL,1,23.736043944344136,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COKE__RUNNELS,COKE,RUNNELS,1,27.04570226687724,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COKE__STERLING,COKE,STERLING,5,16.402690984937266,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COKE__TOM GREEN,COKE,TOM GREEN,1,27.04570226687724,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COLEMAN__MCCULLOCH,COLEMAN,MCCULLOCH,3,31.66968359374791,345.0,2018,25133.264112222223,558.4444444444445,1157.2222222222222,1,0.48257321171387424,1,1
COLEMAN__RUNNELS,COLEMAN,RUNNELS,3,40.96130664294154,345.0,2018,25133.264112222223,558.4444444444445,1157.2222222222222,1,0.48257321171387424,1,1
COLLINGSWORTH__WHEELER,COLLINGSWORTH,WHEELER,1,58.61480369628626,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COLLIN__DALLAS,COLLIN,DALLAS,1,13.622967445978666,345.0,2018,0.0,0.0,3.727272727272727,1,0.0,0,1
COLLIN__DENTON,COLLIN,DENTON,3,10.57870115420394,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COLLIN__FANNIN,COLLIN,FANNIN,2,58.649334226535146,345.0,2018,0.0,0.0,3.727272727272727,1,0.0,0,1
COLLIN__GRAYSON,COLLIN,GRAYSON,4,31.442829384813702,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COLLIN__HUNT,COLLIN,HUNT,5,27.568324739679003,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COLLIN__ROCKWALL,COLLIN,ROCKWALL,7,26.59802206282037,345.0,2018,20311.4927,467.0,1072.0,2,0.435634328358209,1,1
COMAL__GUADALUPE,COMAL,GUADALUPE,4,23.079211380275467,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COMAL__HAYS,COMAL,HAYS,1,49.29637440888786,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COMAL__KENDALL,COMAL,KENDALL,1,49.29637440888786,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COMANCHE__ERATH,COMANCHE,ERATH,1,30.27702962759577,345.0,2018,31957.45131,924.0,1316.0,1,0.7021276595744681,1,1
CONCHO__MCCULLOCH,CONCHO,MCCULLOCH,3,31.66968359374791,345.0,2018,25133.264112222223,558.4444444444445,1157.2222222222222,1,0.48257321171387424,1,1
CONCHO__MENARD,CONCHO,MENARD,1,38.27010733418549,345.0,2018,25133.264112222223,558.4444444444445,1157.2222222222222,1,0.48257321171387424,1,1
CONCHO__TOM GREEN,CONCHO,TOM GREEN,2,28.36947172352912,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COOKE__DENTON,COOKE,DENTON,2,37.05238834717879,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COOKE__GRAYSON,COOKE,GRAYSON,2,37.05238834717879,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COTTLE__FOARD,COTTLE,FOARD,3,49.092512025112256,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COTTLE__KING,COTTLE,KING,2,47.65628678136882,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
COTTLE__MOTLEY,COTTLE,MOTLEY,2,49.26497975261415,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CRANE__CROCKETT,CRANE,CROCKETT,1,8.767155226136127,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
